mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Mobp,MOBP,-0.034289819660832,0.16317962640132944,0.11428571428571428,0.9506493506493506,1.223974137030871e-35,False
Mphosph8,MPHOSPH8,-0.0375937749776039,-0.17377919221541338,0.05714285714285714,0.9506493506493506,0.4429129245651662,True
Mrps17,MRPS17,-0.878659133259413,0.03644383148143332,1.0,1.0,1.7482413580562642e-46,False
Msl1,MSL1,0.011727534285518,0.028414517669531958,0.4,1.0,0.6788150345914161,True
Mtdh,MTDH,0.2245233440394729,-0.1525061743317292,0.6857142857142857,1.0,0.0012727881076537,False
Myo5a,MYO5A,0.010918331078502,-0.029532307548186143,0.7,1.0,0.3482200271526049,False
Myo6,MYO6,-0.249524748755518,-0.453409933283914,0.1,0.9506493506493506,0.0036446257594247,True
Myt1l,MYT1L,-0.4751031910612316,-0.008332845824850832,0.4,1.0,2.697910400806788e-85,True
Naa50,NAA50,0.2354651162790695,0.0889481040479696,0.2,0.9695364238410596,0.0399049235055827,True
Nap1l1,NAP1L1,0.0655174803607933,-0.003162708561300631,0.6857142857142857,1.0,9.392927182275857e-22,False
Ncam1,NCAM1,-0.4073264804418917,-0.07128020881213348,0.4857142857142857,1.0,3.046072554228272e-44,True
Ncl,NCL,-0.3606962507620833,-0.09814896646536064,0.7,1.0,3.11935838365173e-202,True
Ncoa7,NCOA7,0.0644417343578155,-0.04050936255051185,1.0,1.0,0.0447516882109625,False
Ncor1,NCOR1,0.4095308084565897,-0.08134073741144865,0.34285714285714286,1.0,1.2857259700563607e-22,False
Ncs1,NCS1,-0.0195674200330777,-0.43061711177590045,0.05714285714285714,0.9506493506493506,0.265420776718977,True
Ndufc2,NDUFC2,0.2911966294412283,-0.17745222375377517,0.2,0.9695364238410596,0.0,False
Nefl,NEFL,-0.3209555568091676,-0.18581356401870996,0.4857142857142857,1.0,0.0,True
Nefm,NEFM,-0.5694813220641964,-0.062202756129078884,0.7,1.0,3.353387997433018e-138,True
Neurod2,NEUROD2,0.0571487820325046,-0.24794453964570934,0.1,0.9506493506493506,0.315510315960695,False
Nisch,NISCH,-0.9789248145017376,0.024857682035385187,0.2,0.9695364238410596,0.0,False
Nlgn1,NLGN1,0.3749884471555119,0.22249269717624143,1.0,1.0,1.109810121391914e-19,True
Npm1,NPM1,-0.336945534430048,-0.004604515708666934,1.0,1.0,9.119390313334748e-86,True
Nr3c1,NR3C1,0.1635591923451701,0.021745333657925303,0.4,1.0,0.0019762198824283,True
Nrcam,NRCAM,-0.585422847142258,-0.03456479113016009,0.6857142857142857,1.0,3.85516834191616e-191,True
Nrxn1,NRXN1,0.1313967623250019,-0.08887222751117907,0.1,0.9506493506493506,1.6289172137840085e-115,False
Nrxn3,NRXN3,0.0355251323946379,0.021195485675042147,0.8857142857142857,1.0,0.2342089713532547,True
Nsa2,NSA2,0.0894985100245365,0.11810665400743728,0.11021018267342113,0.9506493506493506,1.281792090973569e-06,True
Nsg1,NSG1,-0.0329169643818836,0.04233220146584482,0.8857142857142857,1.0,9.692830755771921e-31,False
Ntm,NTM,0.0589129493931945,0.040606502090921426,1.0,1.0,0.002896557140237,True
Ntrk2,NTRK2,-0.3570503258862531,-0.04838618074130652,0.8857142857142857,1.0,9.004422546087562e-160,True
Ntrk3,NTRK3,0.1607744107744108,-0.2250498384546642,0.2,0.9695364238410596,0.0581847335089229,False
Nub1,NUB1,0.0373147613027983,0.041711869593034634,1.0,1.0,0.3594282760013088,True
Nucks1,NUCKS1,0.87355704579929,-0.012059686323662944,0.8857142857142857,1.0,1.835191521942033e-15,False
Nudt3,NUDT3,0.0616352738974308,-0.09846471424492187,0.34285714285714286,1.0,1.2768597589933264e-35,False
Oaz2,OAZ2,-0.0323613653110704,0.001071529423755102,0.6857142857142857,1.0,9.538485699715324e-12,False
Ogfrl1,OGFRL1,0.5491584104956198,0.03419351533072079,1.0,1.0,1.0183577991728836e-52,True
Ogt,OGT,0.0673795657752878,0.016575972650091475,1.0,1.0,0.0046186179715493,True
